fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2020-03-05,67,1,50,1,0.014925373134328358,0.02
2020-03-13,57,2,46,1,0.03508771929824561,0.021739130434782608
2020-03-19,67,3,67,3,0.04477611940298507,0.04477611940298507
2020-03-24,66,1,60,1,0.015151515151515152,0.016666666666666666
2020-03-26,54,1,50,1,0.018518518518518517,0.02
2020-03-27,32,4,30,4,0.125,0.13333333333333333
2020-03-28,5,1,3,1,0.2,0.3333333333333333
2020-03-29,16,5,16,6,0.3125,0.375
2020-03-30,50,3,47,2,0.06,0.0425531914893617
2020-03-31,26,4,24,4,0.15384615384615385,0.16666666666666666
2020-04-01,20,1,17,1,0.05,0.058823529411764705
2020-04-02,42,6,35,3,0.14285714285714285,0.08571428571428572
2020-04-03,31,4,24,4,0.12903225806451613,0.16666666666666666
2020-04-04,69,14,67,14,0.2028985507246377,0.208955223880597
2020-04-05,2356,538,2171,491,0.22835314091680814,0.22616305849838783
2020-04-06,946,218,808,180,0.23044397463002114,0.22277227722772278
2020-04-07,1283,174,1065,151,0.13561964146531566,0.14178403755868543
2020-04-08,1142,212,991,181,0.18563922942206654,0.18264379414732593
2020-04-09,572,109,495,91,0.19055944055944055,0.18383838383838383
2020-04-10,693,166,595,146,0.23953823953823955,0.2453781512605042
2020-04-11,237,77,223,71,0.32489451476793246,0.3183856502242152
2020-04-12,169,75,135,60,0.4437869822485207,0.4444444444444444
2020-04-13,911,277,732,232,0.3040614709110867,0.31693989071038253
2020-04-14,880,244,727,196,0.2772727272727273,0.2696011004126547
2020-04-15,877,284,760,253,0.3238312428734322,0.33289473684210524
2020-04-16,1209,334,1052,270,0.2762613730355666,0.25665399239543724
2020-04-17,1237,340,1064,289,0.274858528698464,0.2716165413533835
2020-04-18,467,92,428,85,0.19700214132762311,0.1985981308411215
2020-04-19,251,133,225,114,0.5298804780876494,0.5066666666666667
2020-04-20,1110,425,932,359,0.38288288288288286,0.3851931330472103
2020-04-21,1524,463,1293,364,0.3038057742782152,0.2815158546017015
2020-04-22,1781,511,1547,433,0.28691746209994384,0.2798965740142211
2020-04-23,1374,480,1162,396,0.34934497816593885,0.3407917383820998
2020-04-24,1557,588,1324,485,0.37764932562620424,0.36631419939577037
2020-04-25,494,239,445,218,0.48380566801619435,0.4898876404494382
2020-04-26,414,170,350,146,0.4106280193236715,0.41714285714285715
2020-04-27,1634,649,1407,548,0.39718482252141984,0.3894811656005686
2020-04-28,1700,561,1402,463,0.33,0.3302425106990014
2020-04-29,1917,713,1602,602,0.37193531559728743,0.3757802746566791
2020-04-30,1890,591,1592,500,0.3126984126984127,0.314070351758794
2020-05-01,742,240,603,190,0.32345013477088946,0.3150912106135987
2020-05-02,649,263,577,227,0.4052388289676425,0.3934142114384749
2020-05-03,555,221,499,196,0.3981981981981982,0.3927855711422846
2020-05-04,2022,753,1657,622,0.3724035608308605,0.37537718768859385
2020-05-05,1599,586,1370,508,0.36647904940587867,0.3708029197080292
2020-05-06,2175,694,1783,592,0.31908045977011495,0.3320246775098149
2020-05-07,2237,704,1842,584,0.3147071971390255,0.31704668838219324
2020-05-08,2450,922,2002,752,0.3763265306122449,0.3756243756243756
2020-05-09,798,351,684,305,0.4398496240601504,0.44590643274853803
2020-05-10,468,210,416,176,0.44871794871794873,0.4230769230769231
2020-05-11,2223,891,1756,699,0.4008097165991903,0.39806378132118453
2020-05-12,2256,941,1899,826,0.4171099290780142,0.43496577145866244
2020-05-13,2422,1112,1962,905,0.4591246903385632,0.4612640163098879
